大陆,#genre#
CCTV中国中央电视台-1 综合,http://111.40.205.87/PLTV/88888888/224/3221225710/index.m3u8#http://117.148.187.37/PLTV/88888888/224/3221226154/index.m3u8#http://117.169.120.140:8080/live/cctv-1/.m3u8#http://121.31.30.90:8085/ysten-business/live/cctv-1/1.m3u8#http://125.210.152.10:8060/live/CCTV1HD_H265.m3u8#http://ivi.bupt.edu.cn/hls/cctv1hd.m3u8
CCTV中国中央电视台-10 科教,http://111.40.205.87/PLTV/88888888/224/3221225730/index.m3u8#http://117.169.120.140:8080/live/cctv-10/.m3u8#http://121.31.30.90:8085/ysten-business/live/cctv-10/yst.m3u8#http://39.135.32.24:6610/000000001000/1000000001000023734/index.m3u8?i#http://hwottcdn.ln.chinamobile.com/PLTV/88888890/224/3221225984/index.m3u8
CCTV中国中央电视台-11 戏曲,http://112.50.243.8/PLTV/88888888/224/3221225815/1.m3u8#http://117.148.187.37/PLTV/88888888/224/3221226219/index.m3u8#http://117.169.120.140:8080/live/cctv-11/.m3u8#http://121.31.30.90:8085/ysten-business/live/cctv-11/1.m3u8
CCTV中国中央电视台-12 社会与法,http://111.40.205.76/PLTV/88888888/224/3221225731/index.m3u8#http://111.40.205.87/PLTV/88888888/224/3221225731/index.m3u8#http://117.148.187.37/PLTV/88888888/224/3221226167/index.m3u8#http://121.31.30.90:8085/ysten-business/live/cctv-12/1.m3u8
CCTV中国中央电视台-13 新闻,http://112.50.243.8/PLTV/88888888/224/3221225817/1.m3u8#http://117.148.187.37/PLTV/88888888/224/3221226193/index.m3u8#http://117.169.120.140:8080/live/cctv-13/.m3u8#http://121.31.30.90:8085/ysten-business/live/cctv-13/1.m3u8
CCTV中国中央电视台-14 少儿,http://111.40.205.76/PLTV/88888888/224/3221225732/index.m3u8#http://111.40.205.87/PLTV/88888888/224/3221225732/index.m3u8#http://117.148.187.37/PLTV/88888888/224/3221226126/index.m3u8#http://117.148.187.37/PLTV/88888888/224/3221226565/index.m3u8#http://121.31.30.90:8085/ysten-business/live/cctv-14/1.m3u8#http://ivi.bupt.edu.cn/hls/cctv14.m3u8
CCTV中国中央电视台-15 音乐,http://111.40.205.87/PLTV/88888888/224/3221225601/index.m3u8#http://112.50.243.8/PLTV/88888888/224/3221225818/1.m3u8#http://117.148.187.37/PLTV/88888888/224/3221226112/index.m3u8#http://121.31.30.90:8085/ysten-business/live/cctv-15/1.m3u8
CCTV中国中央电视台-2 财经,http://117.148.187.37/PLTV/88888888/224/3221226138/index.m3u8#http://117.169.120.140:8080/live/cctv-2/.m3u8#http://121.31.30.90:8085/ysten-business/live/cctv-2/1.m3u8#http://121.31.30.90:8085/ysten-business/live/cctv-2/yst.m3u8#http://125.210.152.10:8060/live/CCTV2HD_H265.m3u8#http://hwottcdn.ln.chinamobile.com/PLTV/88888890/224/3221225974/index.m3u8#http://ivi.bupt.edu.cn/hls/cctv2.m3u8
CCTV中国中央电视台-3 综艺,http://117.169.120.140:8080/live/cctv-3/.m3u8#http://121.31.30.90:8085/ysten-business/live/cctv-3/1.m3u8#http://39.135.32.29:6610/000000001000/1000000001000011218/index.m3u8?i#http://ivi.bupt.edu.cn/hls/cctv3hd.m3u8
CCTV中国中央电视台-4 中文国际,http://117.148.187.37/PLTV/88888888/224/3221226171/index.m3u8#http://117.169.120.140:8080/live/cctv-4/.m3u8#http://121.31.30.90:8085/ysten-business/live/cctv-4/1.m3u8
